,Word,C,I,P,CI,CP,IP,CIP
0,すいとこ,0.9999092042625952,0.0,0.015340262667049836,0.9999092042625952,1.015249466929645,0.015340262667049836,1.015249466929645
1,するばか,0.9999999958776926,0.0,0.14425972988137326,0.9999999958776926,1.1442597257590659,0.14425972988137326,1.1442597257590659
2,ぶすこと,0.9999999958776926,0.0,0.17388879169026078,0.9999999958776926,1.1738887875679533,0.17388879169026078,1.1738887875679533
3,ことごと,1.0,0.0,0.04563302937378354,1.0,1.0456330293737834,0.04563302937378354,1.0456330293737834
4,すること,1.0,0.0,0.6932966686137282,1.0,1.693296668613728,0.6932966686137282,1.693296668613728
5,まること,1.0,0.0,0.4848798594878981,1.0,1.484879859487898,0.4848798594878981,1.484879859487898
6,しなかっ,1.0,0.0,0.0,1.0,1.0,0.0,1.0
7,めたとこ,1.0,0.0,0.058263479917971574,1.0,1.0582634799179715,0.058263479917971574,1.0582634799179715
8,ちらから,1.0,0.0,0.1277893512666975,1.0,1.1277893512666974,0.1277893512666975,1.1277893512666974
9,わなかっ,1.0,0.0,0.0,1.0,1.0,0.0,1.0
10,するとこ,1.0,0.0,0.14932589839864635,1.0,1.1493258983986463,0.14932589839864635,1.1493258983986463
11,おいしく,1.0,0.0,0.02479332836460662,1.0,1.0247933283646067,0.02479332836460662,1.0247933283646067
12,がたかっ,1.0,0.0,0.12285321163215338,1.0,1.1228532116321535,0.12285321163215338,1.1228532116321535
13,ことでこ,1.0,0.0,0.37060086010829535,1.0,1.3706008601082953,0.37060086010829535,1.3706008601082953
14,はっきり,-1.0,0.0,0.009143503778372038,-1.0,-0.990856496221628,0.009143503778372038,-0.990856496221628
15,しっかり,1.0,0.0,0.04522048096472436,1.0,1.0452204809647243,0.04522048096472436,1.0452204809647243
16,からのお,1.0,0.0,0.1212371465860981,1.0,1.1212371465860982,0.1212371465860981,1.1212371465860982
17,からする,1.0,0.0,0.22878304845095437,1.0,1.2287830484509543,0.22878304845095437,1.2287830484509543
18,しながら,1.0,0.0,0.28134725750629513,1.0,1.2813472575062952,0.28134725750629513,1.2813472575062952
19,のおばちゃ,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0
20,よろしく,1.0,0.0,0.0076230686035970085,1.0,1.007623068603597,0.0076230686035970085,1.007623068603597
21,うところ,1.0,0.0,0.21309274592948427,1.0,1.2130927459294842,0.21309274592948427,1.2130927459294842
22,つけくだ,0.9999999958776926,0.0,0.0,0.9999999958776926,0.9999999958776926,0.0,0.9999999958776926
23,かったら,1.0,0.0,0.24557876681655558,1.0,1.2455787668165557,0.24557876681655558,1.2455787668165557
24,うまかっ,0.999999999999813,0.0,0.0,0.999999999999813,0.999999999999813,0.0,0.999999999999813
25,ちらはた,0.9999092042625952,0.0,0.009209494510889255,0.9999092042625952,1.0091186987734844,0.009209494510889255,1.0091186987734844
26,うとする,-0.9999999999999991,0.0,0.3189017784308704,-0.9999999999999991,-0.6810982215691287,0.3189017784308704,-0.6810982215691287
27,じめてく,0.9999999958776926,0.0,0.006022547495846328,0.9999999958776926,1.006022543373539,0.006022547495846328,1.006022543373539
28,めちゃくちゃ,-1.0,0.0,0.0726656273786515,-1.0,-0.9273343726213485,0.0726656273786515,-0.9273343726213485
29,しくすべ,0.9999092042625952,0.0,0.0,0.9999092042625952,0.9999092042625952,0.0,0.9999092042625952
30,きんぴら,1.0,0.0,0.011639836249398086,1.0,1.0116398362493981,0.011639836249398086,1.0116398362493981
31,かりする,-1.0,0.0,0.11917519312087624,-1.0,-0.8808248068791238,0.11917519312087624,-0.8808248068791238
32,ほかのお,1.0,0.0,0.5057609169637317,1.0,1.5057609169637316,0.5057609169637317,1.5057609169637316
33,ことくら,1.0,0.0,0.21931695057434822,1.0,1.2193169505743482,0.21931695057434822,1.2193169505743482
34,からこそ,1.0,0.0,0.07504497948736776,1.0,1.0750449794873678,0.07504497948736776,1.0750449794873678
35,こりがた,-0.9999999999999186,0.0,0.16395600493329404,-0.9999999999999186,-0.8360439950666245,0.16395600493329404,-0.8360439950666245
36,もたまご,0.9999092042625952,0.0,0.03202112204487313,0.9999092042625952,1.0319303263074684,0.03202112204487313,1.0319303263074684
37,がたちま,1.0,0.0,0.08989456557847988,1.0,1.08989456557848,0.08989456557847988,1.08989456557848
38,のおばさ,-1.0,0.0,0.06292515706353448,-1.0,-0.9370748429364655,0.06292515706353448,-0.9370748429364655
39,がつくよ,0.9999999958776926,0.0,0.0,0.9999999958776926,0.9999999958776926,0.0,0.9999999958776926
40,べたかっ,1.0,0.0,0.16686036863506326,1.0,1.1668603686350631,0.16686036863506326,1.1668603686350631
41,きらめた,1.0,0.0,0.048499786865332684,1.0,1.0484997868653327,0.048499786865332684,1.0484997868653327
42,ぶつかり,1.0,0.0,0.08586300027107731,1.0,1.0858630002710774,0.08586300027107731,1.0858630002710774
43,するくら,1.0,0.0,0.14179282758642625,1.0,1.1417928275864262,0.14179282758642625,1.1417928275864262
44,もたする,0.9999092042625952,0.0,0.4441425347674627,0.9999092042625952,1.444051739030058,0.4441425347674627,1.444051739030058
45,がたくさ,1.0,0.0,0.19121721281586715,1.0,1.1912172128158671,0.19121721281586715,1.1912172128158671
46,にたくさ,1.0,0.0,0.0,1.0,1.0,0.0,1.0
47,おちつか,0.9999999958776926,0.0,0.0,0.9999999958776926,0.9999999958776926,0.0,0.9999999958776926
48,しとかん,0.9999092042625952,0.0,0.0,0.9999092042625952,0.9999092042625952,0.0,0.9999092042625952
