,Word,C,I,P,CI,CP,IP,CIP,S,CIPS
0,あっぷかー,0.9866142981514305,0.0,0.04226536039884715,0.9866142981514305,1.0288796585502777,0.04226536039884715,1.0288796585502777,0.0,1.0288796585502777
1,あっぷぐら,0.5545997223493822,0.0,0.025070537851010287,0.5545997223493822,0.5796702602003925,0.025070537851010287,0.5796702602003925,0.0,0.5796702602003925
2,あっぷすた,0.9993292997390673,0.0,0.021504830194615174,0.9993292997390673,1.0208341299336825,0.021504830194615174,1.0208341299336825,0.0,1.0208341299336825
3,あっぷちー,0.9866142981514305,0.0,0.010838049663041532,0.9866142981514305,0.9974523478144721,0.010838049663041532,0.9974523478144721,0.0,0.9974523478144721
4,あっぷぷら,0.9950547536867307,0.0,0.03863497566030073,0.9950547536867307,1.0336897293470315,0.03863497566030073,1.0336897293470315,0.0,1.0336897293470315
5,あっぷりん,0.9866142981514305,0.0,0.04886923067143295,0.9866142981514305,1.0354835288228634,0.04886923067143295,1.0354835288228634,0.0,1.0354835288228634
6,あぷさら,0.9984202681165271,0.0,0.036220895370773,0.9984202681165271,1.0346411634873,0.036220895370773,1.0346411634873,0.0,1.0346411634873
7,あーがん,0.9981778976111988,0.0,0.040129028163846225,0.9981778976111988,1.038306925775045,0.040129028163846225,1.038306925775045,0.0,1.038306925775045
8,あーきこ,0.8482836399575131,0.0,0.052192687794298046,0.8482836399575131,0.9004763277518112,0.052192687794298046,0.9004763277518112,0.0,0.9004763277518112
9,あーくさ,0.8913734677347187,0.0,0.0016488652172991058,0.8913734677347187,0.8930223329520178,0.0016488652172991058,0.8930223329520178,0.0,0.8930223329520178
10,あーくら,0.9934246772281319,0.0,0.030104041441164443,0.9934246772281319,1.0235287186692963,0.030104041441164443,1.0235287186692963,0.0,1.0235287186692963
11,あーげー,0.8913734677347187,0.0,0.0,0.8913734677347187,0.8913734677347187,0.0,0.8913734677347187,0.0,0.8913734677347187
12,あーこん,0.9903904942256809,0.0,0.0188170404609787,0.9903904942256809,1.0092075346866596,0.0188170404609787,1.0092075346866596,0.0,1.0092075346866596
13,あーすか,0.819024224018218,0.0,0.02471301210562758,0.819024224018218,0.8437372361238455,0.02471301210562758,0.8437372361238455,0.0,0.8437372361238455
14,あーすご,0.5545997223493822,0.0,0.008584483207901623,0.5545997223493822,0.5631842055572838,0.008584483207901623,0.5631842055572838,0.0,0.5631842055572838
15,あーすた,0.9994407705227015,0.0,0.02767655900125144,0.9994407705227015,1.027117329523953,0.02767655900125144,1.027117329523953,0.0,1.027117329523953
16,あーすれ,0.7615941559557646,0.0,0.037060462829850004,0.7615941559557646,0.7986546187856146,0.037060462829850004,0.7986546187856146,0.0,0.7986546187856146
17,あーすー,0.6822617902381698,0.0,0.031149383597695063,0.6822617902381698,0.7134111738358648,0.031149383597695063,0.7134111738358648,0.0,0.7134111738358648
18,あーつー,0.6133572603953825,0.0,0.0038397506021081488,0.6133572603953825,0.6171970109974907,0.0038397506021081488,0.6171970109974907,0.0,0.6171970109974907
19,あーでん,0.9988944427261528,0.0,0.015010952940516568,0.9988944427261528,1.0139053956666693,0.015010952940516568,1.0139053956666693,0.0,1.0139053956666693
20,あーどす,0.9974579674738373,0.0,0.028925172173515618,0.9974579674738373,1.0263831396473528,0.028925172173515618,1.0263831396473528,0.0,1.0263831396473528
21,あーはっ,0.959884926924299,0.0,0.06117331379125571,0.959884926924299,1.0210582407155548,0.06117331379125571,1.0210582407155548,0.0,1.0210582407155548
22,あーはー,0.9993292997390673,0.0,0.02569416440346859,0.9993292997390673,1.0250234641425358,0.02569416440346859,1.0250234641425358,0.0,1.0250234641425358
23,あーばん,0.9996555948057622,0.0,0.021176093431205217,0.9996555948057622,1.0208316882369675,0.021176093431205217,1.0208316882369675,0.0,1.0208316882369675
24,あーぱー,0.9866142981514305,0.0,0.03228013683128582,0.9866142981514305,1.0188944349827163,0.03228013683128582,1.0188944349827163,0.0,1.0188944349827163
25,あーびし,0.9974579674738373,0.0,0.017958861149837007,0.9974579674738373,1.0154168286236742,0.017958861149837007,1.0154168286236742,0.0,1.0154168286236742
26,あーぶら,0.9934246772281319,0.0,0.02336453261472096,0.9934246772281319,1.0167892098428528,0.02336453261472096,1.0167892098428528,0.0,1.0167892098428528
27,あーべら,0.9866142981514305,0.0,0.021057512041157044,0.9866142981514305,1.0076718101925877,0.021057512041157044,1.0076718101925877,0.0,1.0076718101925877
28,あーぼー,0.9998417566292324,0.0,0.02196861770054847,0.9998417566292324,1.0218103743297808,0.02196861770054847,1.0218103743297808,0.0,1.0218103743297808
29,あーぽん,0.9950547536867307,0.0,0.021608434699589445,0.9950547536867307,1.0166631883863202,0.021608434699589445,1.0166631883863202,0.0,1.0166631883863202
30,あーぽー,0.8482836399575131,0.0,0.0,0.8482836399575131,0.8482836399575131,0.0,0.8482836399575131,0.0,0.8482836399575131
31,あーむず,0.9998145378686683,0.0,0.030815683523030324,0.9998145378686683,1.0306302213916987,0.030815683523030324,1.0306302213916987,0.0,1.0306302213916987
32,あーもり,0.9866142981514305,0.0,0.024074530517473092,0.9866142981514305,1.0106888286689035,0.024074530517473092,1.0106888286689035,0.0,1.0106888286689035
33,あーりん,0.9950547536867307,0.0,0.03154403403888541,0.9950547536867307,1.0265987877256162,0.03154403403888541,1.0265987877256162,0.0,1.0265987877256162
34,あーりーん,0.9311096086675779,0.0,0.0,0.9311096086675779,0.9311096086675779,0.0,0.9311096086675779,0.0,0.9311096086675779
35,いじえん,0.9866142981514305,0.0,0.0,0.9866142981514305,0.9866142981514305,0.0,0.9866142981514305,0.0,0.9866142981514305
36,いじどー,0.9866142981514305,0.0,0.009454091121672907,0.9866142981514305,0.9960683892731035,0.009454091121672907,0.9960683892731035,0.0,0.9960683892731035
37,いそうだ,0.009559938194245499,0.0,0.0008864263454030202,0.009559938194245499,0.010446364539648518,0.0008864263454030202,0.010446364539648518,0.0,0.010446364539648518
38,いそぷら,0.20537067595698333,0.0,0.007352919424130252,0.20537067595698333,0.21272359538111357,0.007352919424130252,0.21272359538111357,0.0,0.21272359538111357
39,いらいじ,0.9866142981514305,0.0,0.03123417045634,0.9866142981514305,1.0178484686077705,0.03123417045634,1.0178484686077705,0.0,1.0178484686077705
40,いらから,0.09585860585126227,0.0,0.00022098667249596107,0.09585860585126227,0.09607959252375822,0.00022098667249596107,0.09607959252375822,0.0,0.09607959252375822
41,いらくら,0.6133572603953825,0.0,0.000447196283910005,0.6133572603953825,0.6138044566792925,0.000447196283910005,0.6138044566792925,0.0,0.6138044566792925
42,いらしく,0.006561585619203392,0.0,0.003198772370545232,0.006561585619203392,0.009760357989748624,0.003198772370545232,0.009760357989748624,0.0,0.009760357989748624
43,うかいら,0.7615941559557646,0.0,0.013527259639859698,0.7615941559557646,0.7751214155956243,0.013527259639859698,0.7751214155956243,0.0,0.7751214155956243
44,うかよろ,0.045014603444338164,0.0,0.00941644249920046,0.045014603444338164,0.05443104594353862,0.00941644249920046,0.05443104594353862,0.0,0.05443104594353862
45,うきわく,0.9728461661125112,0.12435300177159614,0.37561301796105573,1.0971991678841073,1.348459184073567,0.49996601973265187,1.472812185845163,0.0,1.472812185845163
46,うじゃうじ,0.870061661742672,0.0,0.663208024704509,0.870061661742672,1.533269686447181,0.663208024704509,1.533269686447181,0.0,1.533269686447181
47,うだから,0.005279781984679488,0.0,0.003659897164887508,0.005279781984679488,0.008939679149566997,0.003659897164887508,0.008939679149566997,0.0,0.008939679149566997
