,Word,C,I,P,CI,CP,IP,CIP
0,あっぷかー,0.9866142981514305,0.0,0.04226536039884715,0.9866142981514305,1.0288796585502777,0.04226536039884715,1.0288796585502777
1,あっぷぐら,0.5545997223493822,0.0,0.025070537851010287,0.5545997223493822,0.5796702602003925,0.025070537851010287,0.5796702602003925
2,あっぷすた,0.9993292997390673,0.0,0.021504830194615174,0.9993292997390673,1.0208341299336825,0.021504830194615174,1.0208341299336825
3,あっぷちー,0.9866142981514305,0.0,0.010838049663041532,0.9866142981514305,0.9974523478144721,0.010838049663041532,0.9974523478144721
4,あっぷぷら,0.9950547536867307,0.0,0.03863497566030073,0.9950547536867307,1.0336897293470315,0.03863497566030073,1.0336897293470315
5,あっぷりん,0.9866142981514305,0.0,0.04886923067143295,0.9866142981514305,1.0354835288228634,0.04886923067143295,1.0354835288228634
6,あぷさら,0.9984202681165271,0.0,0.036220895370773,0.9984202681165271,1.0346411634873,0.036220895370773,1.0346411634873
7,あーがん,0.9981778976111988,0.0,0.040129028163846225,0.9981778976111988,1.038306925775045,0.040129028163846225,1.038306925775045
8,あーきこ,0.8482836399575131,0.0,0.052192687794298046,0.8482836399575131,0.9004763277518112,0.052192687794298046,0.9004763277518112
9,あーくさ,0.8913734677347187,0.0,0.0016488652172991058,0.8913734677347187,0.8930223329520178,0.0016488652172991058,0.8930223329520178
10,あーくら,0.9934246772281319,0.0,0.030104041441164443,0.9934246772281319,1.0235287186692963,0.030104041441164443,1.0235287186692963
11,あーげー,0.8913734677347187,0.0,0.0,0.8913734677347187,0.8913734677347187,0.0,0.8913734677347187
12,あーこん,0.9903904942256809,0.0,0.0188170404609787,0.9903904942256809,1.0092075346866596,0.0188170404609787,1.0092075346866596
13,あーすか,0.819024224018218,0.0,0.02471301210562758,0.819024224018218,0.8437372361238455,0.02471301210562758,0.8437372361238455
14,あーすご,0.5545997223493822,0.0,0.008584483207901623,0.5545997223493822,0.5631842055572838,0.008584483207901623,0.5631842055572838
15,あーすた,0.9994407705227015,0.0,0.02767655900125144,0.9994407705227015,1.027117329523953,0.02767655900125144,1.027117329523953
16,あーすれ,0.7615941559557646,0.0,0.037060462829850004,0.7615941559557646,0.7986546187856146,0.037060462829850004,0.7986546187856146
17,あーすー,0.6822617902381698,0.0,0.031149383597695063,0.6822617902381698,0.7134111738358648,0.031149383597695063,0.7134111738358648
18,あーつー,0.6133572603953825,0.0,0.0038397506021081488,0.6133572603953825,0.6171970109974907,0.0038397506021081488,0.6171970109974907
